"layer","0","Physical","Physical"
"resource","1","DB2","DB2","DB2 Database","0"
"node","2","","IISDOCKER\\DB2","Server","1"
"node","3","2","IADB","Database","1"
"node","4","3","ADMINISTRATOR","Schema","1"
"node","5","4","T1","Table","1"
"node","6","5","A","Column","1"
"node","7","5","B","Column","1"
"node","8","3","DB2ADMIN","Schema","1"
"node","9","8","RSL_FOO","Procedure","1"
"node","10","8","RSL_FOO2","Procedure","1"
"node","11","3","DWH","Schema","1"
"node","12","11","ADDR_PURP","Table","1"
"node","13","12","ADDR_PURP_KEY","Column","1"
"node","14","12","SRC_ID","Column","1"
"node","15","11","CD_COUNTRY","Table","1"
"node","16","15","COUNTRY_KEY","Column","1"
"node","17","15","ID","Column","1"
"node","18","15","SRC_ID","Column","1"
"node","19","15","SRC_SYS_ID","Column","1"
"node","20","15","COUNTRY_SIZE","Column","1"
"node","21","11","CD_GENDER","Table","1"
"node","22","21","GENDER_KEY","Column","1"
"node","23","21","SRC_ID","Column","1"
"node","24","21","SRC_SYS_ID","Column","1"
"node","25","11","CD_SEGMENT","Table","1"
"node","26","25","ID","Column","1"
"node","27","25","SEG_KEY","Column","1"
"node","28","11","CRM_CLIENT","Table","1"
"node","29","28","BIRTH_PLACE","Column","1"
"node","30","28","CARD_SOCIAL","Column","1"
"node","31","28","COMPANY_ID","Column","1"
"node","32","28","COMPANY_NAME","Column","1"
"node","33","28","CUST_NO","Column","1"
"node","34","28","DATE_BIRTH","Column","1"
"node","35","28","DATE_DEATH","Column","1"
"node","36","28","ID_CLIENT","Column","1"
"node","37","28","ID_COUNTRY","Column","1"
"node","38","28","NAME_FIRST","Column","1"
"node","39","28","NAME_LAST","Column","1"
"node","40","28","NAME_MAIDEN","Column","1"
"node","41","28","VALIDITY_DATE","Column","1"
"node","42","28","VAT_ID","Column","1"
"node","43","11","LOAN_CUSTOMER","Table","1"
"node","44","43","CUSTOMER_NAME","Column","1"
"node","45","43","CUSTOMER_NO","Column","1"
"node","46","43","CUSTOMER_TYPE","Column","1"
"node","47","43","SHORT_NAME","Column","1"
"node","48","43","VALIDITY_DATE","Column","1"
"node","49","11","LOAN_CUSTOMER_CORPORATE","Table","1"
"node","50","49","CORPORATE_NAME","Column","1"
"node","51","49","CUSTOMER_NO","Column","1"
"node","52","49","NATIONAL_ID","Column","1"
"node","53","49","VALIDITY_DATE","Column","1"
"node","54","11","LOAN_CUSTOMER_PERSON","Table","1"
"node","55","54","COUNTRY_ID","Column","1"
"node","56","54","CUSTOMER_NO","Column","1"
"node","57","54","DATE_OF_BIRTH","Column","1"
"node","58","54","FIRST_NAME","Column","1"
"node","59","54","LAST_NAME","Column","1"
"node","60","54","NATIONAL_ID","Column","1"
"node","61","54","SEX","Column","1"
"node","62","54","VALIDITY_DATE","Column","1"
"node","63","11","PARTY","Table","1"
"node","64","63","BIRTH_DATE","Column","1"
"node","65","63","BIRTH_NAME","Column","1"
"node","66","63","BIRTH_PLACE","Column","1"
"node","67","63","BUS_NAME","Column","1"
"node","68","63","COUNTRY_KEY","Column","1"
"node","69","63","CUST_NO","Column","1"
"node","70","63","DEATH_DATE","Column","1"
"node","71","63","DIC","Column","1"
"node","72","63","FAMILY_NAME","Column","1"
"node","73","63","FIRST_NAME","Column","1"
"node","74","63","GENDER_KEY","Column","1"
"node","75","63","ICO","Column","1"
"node","76","63","PARTY_KEY","Column","1"
"node","77","63","RC","Column","1"
"node","78","63","SHORT_NAME","Column","1"
"node","79","63","SRC_ID","Column","1"
"node","80","63","SRC_SYS_ID","Column","1"
"node","81","11","PARTY_ADDR_H","Table","1"
"node","82","81","ADDR_PURP_KEY","Column","1"
"node","83","81","CITY_NAME","Column","1"
"node","84","81","PARTY_KEY","Column","1"
"node","85","81","STREET_NAME","Column","1"
"node","86","81","VALID_FROM","Column","1"
"node","87","81","VALID_TO","Column","1"
"node","88","81","ZIP","Column","1"
"node","89","11","PARTY_H","Table","1"
"node","90","89","BIRTH_DATE","Column","1"
"node","91","89","BIRTH_NAME","Column","1"
"node","92","89","BIRTH_PLACE","Column","1"
"node","93","89","BUS_NAME","Column","1"
