"source_code","0","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DB2ADMIN\\Procedures\\SQL190911151043159.sql","df5a5c51a8ac5b7f7e2d801e441850e7","DB2","db2dict"
"source_code","6","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DWH\\Procedures\\SQL180710124941355.sql","45ac2f9aa9c09ae9023e7c4865545d42","DB2","db2dict"
"source_code","9","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539449.sql","521577345fdbd3c5883686e7a38ee45e","DB2","db2dict"
"layer","0","Physical","Physical"
"resource","1","DB2","DB2","DB2 Database","0"
"resource","2","DB2 DDL","DB2 scripts","DB2 DDL scripts","0"
"node","3","","IISDOCKER\\DB2","Server","1"
"node","4","3","IADB","Database","1"
"node","5","4","IAUSER","Schema","1"
"node","6","5","GETRULESETVIOLATIONDETAILS","Procedure","1"
"node","7","6","GETRULESETVIOLATIONDETAILS_BODY","Block","2"
"node","8","7","<3,5>TSQL_BLOCK","Block","2"
"node","9","8","<8,1>TSQL_BLOCK","Block","2"
"node","10","9","<9,1>CURSOR DECLARATION","DeclareCursor","2"
"node","11","10","1 VIOLATIONS_TABLE","ColumnFlow","2"
"node","12","5","RULE_EXECUTION_MAP","Table","1"
"node","13","12","EXECUTION_RID","Column","1"
"node","14","12","RULENAME","Column","1"
"node","15","12","PROJECT_","Column","1"
"node","16","12","VIOLATIONS_TABLE","Column","1"
"node","17","6","EXECUTIONRID","Parameter","1"
"node","18","6","RULESET","Parameter","1"
"node","19","6","PROJECT","Parameter","1"
"node","20","","db2dict","Connection","2"
"node","21","20","IAUSER","Directory","2"
"node","22","21","Procedures","Directory","2"
"node","23","22","SQL180121055539449.sql","DB2 Script","2"
"node","24","4","DB2ADMIN","Schema","1"
"node","25","24","RSL_FOO","Procedure","1"
"node","26","25","RSL_FOO_BODY","Block","2"
"node","27","26","<2,1>TSQL_BLOCK","Block","2"
"node","28","27","<4,46>MasterResultSet","Query","2"
"node","29","28","1 TABLE COLUMNS UNKNOWN","ResultSetColumn","2"
"node","30","4","SYSIBM","Schema","1"
"node","31","30","DUAL","Table","1"
"node","32","31","TABLE COLUMNS UNKNOWN","Column","1"
"node","33","4","DWH","Schema","1"
"node","34","33","CD_GENDER","Table","1"
"node","35","34","SRC_SYS_ID","Column","1"
"node","36","34","SRC_ID","Column","1"
"node","37","33","CD_COUNTRY","Table","1"
"node","38","37","SRC_SYS_ID","Column","1"
"node","39","37","SRC_ID","Column","1"
"node","40","33","LOAN_CUSTOMER_CORPORATE","Table","1"
"node","41","40","VALIDITY_DATE","Column","1"
"node","42","40","CUSTOMER_NO","Column","1"
"node","43","33","LOAN_CUSTOMER_PERSON","Table","1"
"node","44","43","VALIDITY_DATE","Column","1"
"node","45","43","CUSTOMER_NO","Column","1"
"node","46","33","LOAN_CUSTOMER","Table","1"
"node","47","46","VALIDITY_DATE","Column","1"
"node","48","46","SHORT_NAME","Column","1"
"node","49","43","NATIONAL_ID","Column","1"
"node","50","40","NATIONAL_ID","Column","1"
"node","51","34","GENDER_KEY","Column","1"
"node","52","43","SEX","Column","1"
"node","53","43","FIRST_NAME","Column","1"
"node","54","43","LAST_NAME","Column","1"
"node","55","37","COUNTRY_KEY","Column","1"
"node","56","43","COUNTRY_ID","Column","1"
"node","57","46","CUSTOMER_NO","Column","1"
"node","58","46","CUSTOMER_NAME","Column","1"
"node","59","40","CORPORATE_NAME","Column","1"
"node","60","46","CUSTOMER_TYPE","Column","1"
"node","61","43","DATE_OF_BIRTH","Column","1"
"node","62","33","IMPORT_LOAN","Procedure","1"
"node","63","62","IMPORT_LOAN_BODY","Block","2"
"node","64","63","<2,1>TSQL_BLOCK","Block","2"
"node","65","64","<10,2>MERGE","Merge","2"
"node","66","65","<95,7>MERGE INSERT","MergeInsert","2"
"node","67","66","13 SRC_SYS_ID","ColumnFlow","2"
"node","68","66","12 SRC_ID","ColumnFlow","2"
"node","69","66","11 SHORT_NAME","ColumnFlow","2"
"node","70","66","10 RC","ColumnFlow","2"
"node","71","66","9 PARTY_KEY","ColumnFlow","2"
"node","72","66","8 ICO","ColumnFlow","2"
"node","73","66","7 GENDER_KEY","ColumnFlow","2"
"node","74","66","6 FIRST_NAME","ColumnFlow","2"
"node","75","66","5 FAMILY_NAME","ColumnFlow","2"
"node","76","66","4 COUNTRY_KEY","ColumnFlow","2"
