"source_code","11","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539450.sql","d57ed066ad0736388dcee02b87e7d717","DB2","db2dict"
"source_code","4","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DWH\\Procedures\\SQL180710124841154.sql","e2dbecfa771563f5db9607fef47ee608","DB2","db2dict"
"source_code","8","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539447.sql","e7a2b546a2a7c756fc55d1f47399b005","DB2","db2dict"
"layer","0","Physical","Physical"
"resource","1","DB2","DB2","DB2 Database","0"
"resource","2","DB2 DDL","DB2 scripts","DB2 DDL scripts","0"
"node","3","","IISDOCKER\\DB2","Server","1"
"node","4","3","IADB","Database","1"
"node","5","4","IAUSER","Schema","1"
"node","6","5","GETLASTRULESETVIOLATIONDETAILS","Procedure","1"
"node","7","6","GETLASTRULESETVIOLATIONDETAILS_BODY","Block","2"
"node","8","7","<3,5>TSQL_BLOCK","Block","2"
"node","9","8","<8,1>TSQL_BLOCK","Block","2"
"node","10","9","<9,1>CURSOR DECLARATION","DeclareCursor","2"
"node","11","10","1 VIOLATIONS_TABLE","ColumnFlow","2"
"node","12","5","RULE_EXECUTION_MAP","Table","1"
"node","13","12","VIOLATIONS_TABLE","Column","1"
"node","14","12","EXECUTION_TIMESTAMP","Column","1"
"node","15","5","ROW_NUMBER","Function","1"
"node","16","15","ROW_NUMBER_RETVAL","ReturnValue","1"
"node","17","9","<10,48>ROW_NUMBER","RoutineCall","2"
"node","18","17","<10,48>ROW_NUMBER_RETURN","CallResult","2"
"node","19","6","EXECUTIONINDEX","Parameter","1"
"node","20","6","RULESET","Parameter","1"
"node","21","6","PROJECT","Parameter","1"
"node","22","","db2dict","Connection","2"
"node","23","22","IAUSER","Directory","2"
"node","24","23","Procedures","Directory","2"
"node","25","24","SQL180121055539450.sql","DB2 Script","2"
"node","26","5","GETRULEOUTPUTTABLE","Procedure","1"
"node","27","26","GETRULEOUTPUTTABLE_BODY","Block","2"
"node","28","27","<3,1>TSQL_BLOCK","Block","2"
"node","29","28","<9,1>TSQL_BLOCK","Block","2"
"node","30","29","<10,1>CURSOR DECLARATION","DeclareCursor","2"
"node","31","30","1 DATA_QUERY","ColumnFlow","2"
"node","32","12","EXECUTION_RID","Column","1"
"node","33","12","RULENAME","Column","1"
"node","34","12","PROJECT_","Column","1"
"node","35","12","DATA_QUERY","Column","1"
"node","36","26","EXECUTIONRID","Parameter","1"
"node","37","26","RULE","Parameter","1"
"node","38","26","PROJECT","Parameter","1"
"node","39","24","SQL180121055539447.sql","DB2 Script","2"
"node","40","4","DWH","Schema","1"
"node","41","40","HIST_PARTY","Procedure","1"
"node","42","41","HIST_PARTY_BODY","Block","2"
"node","43","42","<2,1>TSQL_BLOCK","Block","2"
"node","44","43","<115,5>MERGE","Merge","2"
"node","45","44","<179,7>MERGE INSERT","MergeInsert","2"
"node","46","45","19 VALID_TO","ColumnFlow","2"
"node","47","45","18 VALID_FROM","ColumnFlow","2"
"node","48","45","17 SRC_ID","ColumnFlow","2"
"node","49","45","16 SHORT_NAME","ColumnFlow","2"
"node","50","45","15 RC","ColumnFlow","2"
"node","51","45","14 ICO","ColumnFlow","2"
"node","52","45","13 GENDER_KEY","ColumnFlow","2"
