"source_code","5","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\DWH\\Procedures\\SQL180710124951056.sql","15dba04a2d0401391cd85e8485b9b5c5","DB2","db2dict"
"source_code","10","c:\\mantaflow\\cli\\temp\\db2\\db2dict\\ddl\\IAUSER\\Procedures\\SQL180121055539448.sql","bc93dbd4cf71036c18714970466f2678","DB2","db2dict"
"layer","0","Physical","Physical"
"resource","1","DB2","DB2","DB2 Database","0"
"resource","2","DB2 DDL","DB2 scripts","DB2 DDL scripts","0"
"node","3","","IISDOCKER\\DB2","Server","1"
"node","4","3","IADB","Database","1"
"node","5","4","IAUSER","Schema","1"
"node","6","5","GETLASTRULEOUTPUTTABLE","Procedure","1"
"node","7","6","GETLASTRULEOUTPUTTABLE_BODY","Block","2"
"node","8","7","<3,1>TSQL_BLOCK","Block","2"
"node","9","8","<9,1>TSQL_BLOCK","Block","2"
"node","10","9","<10,1>CURSOR DECLARATION","DeclareCursor","2"
"node","11","10","1 DATA_QUERY","ColumnFlow","2"
"node","12","5","RULE_EXECUTION_MAP","Table","1"
"node","13","12","RULENAME","Column","1"
"node","14","12","PROJECT_","Column","1"
"node","15","12","DATA_QUERY","Column","1"
"node","16","12","EXECUTION_TIMESTAMP","Column","1"
"node","17","5","ROW_NUMBER","Function","1"
"node","18","17","ROW_NUMBER_RETVAL","ReturnValue","1"
"node","19","9","<11,42>ROW_NUMBER","RoutineCall","2"
"node","20","19","<11,42>ROW_NUMBER_RETURN","CallResult","2"
"node","21","6","EXECUTIONINDEX","Parameter","1"
"node","22","6","RULE","Parameter","1"
"node","23","6","PROJECT","Parameter","1"
"node","24","","db2dict","Connection","2"
"node","25","24","IAUSER","Directory","2"
"node","26","25","Procedures","Directory","2"
"node","27","26","SQL180121055539448.sql","DB2 Script","2"
"node","28","4","DWH","Schema","1"
"node","29","28","CD_COUNTRY","Table","1"
"node","30","29","SRC_SYS_ID","Column","1"
"node","31","29","SRC_ID","Column","1"
"node","32","28","CRM_CLIENT","Table","1"
"node","33","32","VALIDITY_DATE","Column","1"
"node","34","32","ID_CLIENT","Column","1"
"node","35","32","CARD_SOCIAL","Column","1"
"node","36","32","COMPANY_ID","Column","1"
"node","37","32","NAME_FIRST","Column","1"
"node","38","32","NAME_LAST","Column","1"
"node","39","32","VAT_ID","Column","1"
"node","40","32","DATE_DEATH","Column","1"
"node","41","29","COUNTRY_KEY","Column","1"
"node","42","32","ID_COUNTRY","Column","1"
"node","43","32","CUST_NO","Column","1"
"node","44","32","COMPANY_NAME","Column","1"
"node","45","32","BIRTH_PLACE","Column","1"
"node","46","32","NAME_MAIDEN","Column","1"
"node","47","32","DATE_BIRTH","Column","1"
"node","48","28","IMPORT_CRM","Procedure","1"
"node","49","48","IMPORT_CRM_BODY","Block","2"
"node","50","49","<2,1>TSQL_BLOCK","Block","2"
"node","51","50","<11,3>MERGE","Merge","2"
"node","52","51","<84,3>MERGE INSERT","MergeInsert","2"
"node","53","52","15 SRC_SYS_ID","ColumnFlow","2"
"node","54","52","14 SRC_ID","ColumnFlow","2"
"node","55","52","13 RC","ColumnFlow","2"
"node","56","52","12 PARTY_KEY","ColumnFlow","2"
"node","57","52","11 ICO","ColumnFlow","2"
"node","58","52","10 FIRST_NAME","ColumnFlow","2"
"node","59","52","9 FAMILY_NAME","ColumnFlow","2"
"node","60","52","8 DIC","ColumnFlow","2"
"node","61","52","7 DEATH_DATE","ColumnFlow","2"
"node","62","52","6 COUNTRY_KEY","ColumnFlow","2"
"node","63","52","5 CUST_NO","ColumnFlow","2"
"node","64","52","4 BUS_NAME","ColumnFlow","2"
"node","65","52","3 BIRTH_PLACE","ColumnFlow","2"
"node","66","52","2 BIRTH_NAME","ColumnFlow","2"
"node","67","52","1 BIRTH_DATE","ColumnFlow","2"
"node","68","28","PARTY","Table","1"
"node","69","68","SRC_SYS_ID","Column","1"
"node","70","68","SRC_ID","Column","1"
"node","71","68","PARTY_KEY","Column","1"
"node","72","28","SEQ_PARTY_KEY","Sequence","1"
"node","73","51","<56,3>MERGE UPDATE","MergeUpdate","2"
"node","74","73","12 RC","ColumnFlow","2"
"node","75","73","11 ICO","ColumnFlow","2"
"node","76","73","10 FIRST_NAME","ColumnFlow","2"
"node","77","73","9 FAMILY_NAME","ColumnFlow","2"
"node","78","73","8 DIC","ColumnFlow","2"
"node","79","73","7 DEATH_DATE","ColumnFlow","2"
"node","80","73","6 COUNTRY_KEY","ColumnFlow","2"
"node","81","73","5 CUST_NO","ColumnFlow","2"
"node","82","73","4 BUS_NAME","ColumnFlow","2"
"node","83","73","3 BIRTH_PLACE","ColumnFlow","2"
"node","84","73","2 BIRTH_NAME","ColumnFlow","2"
"node","85","73","1 BIRTH_DATE","ColumnFlow","2"
"node","86","68","RC","Column","1"
"node","87","68","ICO","Column","1"
"node","88","68","FIRST_NAME","Column","1"
"node","89","68","FAMILY_NAME","Column","1"
"node","90","68","DIC","Column","1"
"node","91","68","DEATH_DATE","Column","1"
"node","92","68","COUNTRY_KEY","Column","1"
"node","93","68","CUST_NO","Column","1"
"node","94","68","BUS_NAME","Column","1"
"node","95","68","BIRTH_PLACE","Column","1"
"node","96","68","BIRTH_NAME","Column","1"
"node","97","68","BIRTH_DATE","Column","1"
"node_attribute","3","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","4","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","5","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","6","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","6","sourceLocation","10"
"node_attribute","6","sourceEncoding","utf8"
"node_attribute","6","CONNECTION","db2dict"
"node_attribute","7","NODE_SCRIPT_POSITION","1,1"
"node_attribute","7","NODE_SCRIPT_STOP_POSITION","41,4"
"node_attribute","8","NODE_SCRIPT_POSITION","3,1"
"node_attribute","8","NODE_SCRIPT_STOP_POSITION","41,4"
"node_attribute","9","NODE_SCRIPT_POSITION","9,1"
"node_attribute","9","NODE_SCRIPT_STOP_POSITION","17,4"
"node_attribute","10","NODE_SCRIPT_POSITION","10,1"
"node_attribute","10","NODE_SCRIPT_STOP_POSITION","13,50"
"node_attribute","12","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","13","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","14","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","15","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","16","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","17","OBJECT_SOURCE_TYPE","DEDUCTION"
"node_attribute","18","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","19","NODE_SCRIPT_POSITION","11,42"
"node_attribute","19","NODE_SCRIPT_STOP_POSITION","11,44"
"node_attribute","20","NODE_SCRIPT_POSITION","11,42"
"node_attribute","20","NODE_SCRIPT_STOP_POSITION","11,44"
"node_attribute","20","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","21","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","21","ORDER","3"
"node_attribute","21","PARAMETER_TYPE","IN"
"node_attribute","22","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","22","ORDER","2"
"node_attribute","22","PARAMETER_TYPE","IN"
"node_attribute","23","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","23","ORDER","1"
"node_attribute","23","PARAMETER_TYPE","IN"
"node_attribute","27","error","Error while parsing script"
"node_attribute","28","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","29","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","30","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","31","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","32","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","33","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","34","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","35","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","36","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","37","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","38","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","39","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","40","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","41","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","42","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","43","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","44","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","45","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","46","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","47","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","48","OBJECT_SOURCE_TYPE","SCRIPT"
"node_attribute","48","sourceLocation","5"
"node_attribute","48","sourceEncoding","utf8"
"node_attribute","48","CONNECTION","db2dict"
"node_attribute","49","NODE_SCRIPT_POSITION","1,1"
"node_attribute","49","NODE_SCRIPT_STOP_POSITION","117,4"
"node_attribute","50","NODE_SCRIPT_POSITION","2,1"
"node_attribute","50","NODE_SCRIPT_STOP_POSITION","117,4"
"node_attribute","51","NODE_SCRIPT_POSITION","11,3"
"node_attribute","51","NODE_SCRIPT_STOP_POSITION","116,6"
"node_attribute","52","NODE_SCRIPT_POSITION","84,3"
"node_attribute","52","NODE_SCRIPT_STOP_POSITION","116,6"
"node_attribute","68","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","69","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","70","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","71","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","72","OBJECT_SOURCE_TYPE","DEDUCTION"
"node_attribute","73","NODE_SCRIPT_POSITION","56,3"
"node_attribute","73","NODE_SCRIPT_STOP_POSITION","83,33"
"node_attribute","86","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","87","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","88","OBJECT_SOURCE_TYPE","DICTIONARY"
"node_attribute","89","OBJECT_SOURCE_TYPE","DICTIONARY"
